group,sp,word,wpos,v1,v2,v1F0on,v2F0off,duration,v1F0m,v2F0m,stop,VOT
P,F,domang,iso,o,a,232.523718,176.9861798,NA,220.5556093,185.010275,d,0.043537708
P,F,domang,car,o,a,231.1963931,234.3472849,NA,222.0288096,225.4144596,d,0.033177429
P,M,domang,iso,o,a,91.953698,77.98749654,NA,90.04716465,79.81439013,d,0.065136365
P,M,domang,car,o,a,94.27201931,93.44030366,NA,89.40998921,92.76487918,d,0.094014099
P,F,tomang,iso,o,a,304.0853796,197.544793,NA,290.7168576,212.3765042,t,0.065161273
P,F,tomang,car,o,a,319.8269535,314.1,NA,323.6265412,315.6800732,t,0.04200549
P,M,tomang,iso,o,a,58.874826,74.78881733,NA,59.60668356,79.20344684,t,0.07571012
P,M,tomang,car,o,a,134.8936053,129.437199,NA,131.8745869,129.3520979,t,0.078331712
P,F,dongmil,iso,o,i,231.4310707,178.4340954,NA,224.3187832,186.087655,d,0.053
P,F,dongmil,car,o,i,244.3199816,253.7525329,NA,232.3645712,258.3186972,d,0.036
P,M,dongmil,iso,o,i,91.22359895,78.15356655,NA,93.330804,83.64632271,d,0.053
P,M,dongmil,car,o,i,91.12640592,84.64750227,NA,89.62854361,91.89822832,d,0.053
P,F,tongmil,iso,o,i,311.5074762,183.0688315,NA,308.7273134,193.4877909,t,0.06842553
P,F,tongmil,car,o,i,311.3188913,310,NA,309.8860146,311.4762416,t,0.042211714
P,M,tongmil,iso,o,i,119.2,77.54163606,NA,120.1145232,80.14363563,t,0.090754028
P,M,tongmil,car,o,i,151.0576372,121.6,NA,143.791242,129.312693,t,0.072387872
L,F,domang,iso,o,a,222.1789,205.6295,0.190909,221.056487,201.1327743,d,0.079367
L,F,domang,car,o,a,228.3908264,232.2944021,0.235105,218.9423572,227.8369328,d,0.004049
L,F,tomang,iso,o,a,305.1105861,266.3486822,0.251759,300.1920485,203.116837,t,0.02176
L,F,tomang,car,o,a,337.4633225,335.9859817,0.206022,320.6734312,336.3292921,t,0.024717
L,F,dongmil,iso,o,i,253.6294723,184.4943492,0.383852,232.1300744,192.1482532,d,0.072237
L,F,dongmil,car,o,i,245.7889176,269.5686865,0.325483,229.2015963,266.6684767,d,0.075035
L,F,tongmil,iso,o,i,314.8758977,178.8542709,0.437026,300.3033889,179.7535351,t,0.079173
L,F,tongmil,car,o,i,348.5741407,346.2707404,0.253484,338.6737903,346.6380945,t,0.074774
L,M,domang,iso,o,a,98.99424218,83.2960612,0.318393,98.8555696,90.15986003,d,0.117
L,M,domang,car,o,a,463.949837,108.3565693,0.288666,94.35425626,107.9711297,d,0.065981
L,M,tomang,iso,o,a,742.9342736,81.33112944,0.317203,136.9151382,83.62611401,t,0.091
L,M,tomang,car,o,a,2111.759692,139.0105407,0.310418,138.3488572,140.8459119,t,0.088367
L,M,dongmil,iso,o,i,99.23398398,86.22454047,0.331385,102.4062327,92.59681104,d,0.050471
L,M,dongmil,car,o,i,98.24324721,119.3635241,0.248842,96.40425898,117.2082869,d,0.04437
L,M,tongmil,iso,o,i,150.5453429,86.0853894,0.298822,136.5042426,97.56365019,t,0.060167
L,M,tongmil,car,o,i,145.9285074,140.8443688,0.248514,144.5438724,143.218335,t,0.075182
E,F,bama,iso,a,a,194.392254,170.335625,0.331927,184.42895,158.922486,b,0.055601
E,F,bama,car,a,a,201.753192,182.396084,0.24971,191.502488,182.482914,b,0.056033
E,M,bama,iso,a,a,102.315361,82.537974,0.304313,101.956582,89.092012,b,0.5959
E,M,bama,car,a,a,110.234909,115.887339,0.1899194,109.131924,114.622426,b,0.060253
E,F,pama,iso,a,a,250.317113,179.266246,0.210125,251.1529,179.5684765,p,0.068473
E,F,pama,car,a,a,285.257464,261.93893,0.215162,282.8001461,262.6874362,p,0.079808
E,M,pama,iso,a,a,258.134664,50.631801,0.257675,141.7731836,86.10393749,p,0.076548
E,M,pama,car,a,a,154.794571,143.899582,0.199808,160.2139902,147.2956341,p,0.0573
E,F,baneul,iso,a,eu,199.96718,153.9311425,0.311254575,186.2643345,161.6675149,b,0.061738517
E,F,baneul,car,a,eu,195.1623502,207.0620161,0.201031933,189.9638634,204.3861948,b,0.061124171
E,M,baneul,iso,a,eu,106.7402034,87.71032108,0.276507289,105.5747338,98.20349724,b,0.041297816
E,M,baneul,car,a,eu,108.2799021,125.6812638,0.160247774,106.9305416,124.6510908,b,0.053609556
E,F,paneul,iso,a,eu,252.731172,153.5293489,0.31875465,243.7190094,166.801871,p,0.084781
E,F,paneul,car,a,eu,260.066122,259.0869046,0.204185209,260.6303841,266.7532766,p,0.068377
E,M,paneul,iso,a,eu,144.233347,86.82064927,0.198096237,140.7708781,92.47514417,p,0.067198
E,M,paneul,car,a,eu,167.8257153,185.0564125,0.142998035,173.6600708,186.8938979,p,0.062031
I,F,geonning,car,eo,i,234.4,262.5,NA,225.5,264.6,g,0.045
I,F,geonning,iso,eo,i,215.5,180.6,NA,211.3,198.3,g,0.06
I,F,georae,car,eo,ae,222.2,241.2,NA,216.7,236.6,g,0.052
I,F,georae,iso,eo,ae,222.8,246.6,NA,213.3,203.5,g,0.067
I,F,keonning,car,eo,i,325.3,344.9,NA,326.6,352,k,0.049
I,F,keonning,iso,eo,i,351.4,162.9,NA,346.8,203.6,k,0.062
I,F,keorae,car,eo,ae,337.8,324.1,NA,322.2,329.4,k,0.078
I,F,keorae,iso,eo,ae,383.3,265.1,NA,342.3,268.2,k,0.105
I,M,geonning,car,eo,i,109.2,121.7,NA,107.8,121.5,g,0.058
I,M,geonning,iso,eo,i,111,87.4,NA,107.5,92.21,g,0.046
I,M,georae,car,eo,ae,107.1,111.7,NA,106,111.6,g,0.061
I,M,georae,iso,eo,ae,112.3,84.97,NA,107.4,93.25,g,0.049
I,M,keonning,car,eo,i,150.2,142.6,NA,148.9,145.3,k,0.073
I,M,keonning,iso,eo,i,147.8,95.2,NA,144.9,102.4,k,0.082
I,M,keorae,car,eo,ae,151.7,143,NA,150.4,145.7,k,0.092
I,M,keorae,iso,eo,ae,138.2,88.84,NA,134.5,97.07,k,0.103
X,F,bama,iso,a,a,225,202,203,183,0.439,b,0.069
X,F,bama,car,a,a,220,223,214,224,0.325,b,0.046
X,M,bama,iso,a,a,99,89,92,76,0.473,b,0.076
X,M,bama,car,a,a,88,99,91,101,0.318,b,0.107
X,F,baneul,iso,a,eu,197,184,200,189,0.242,b,0.064
X,F,baneul,car,a,eu,219,234,217,232,0.185,b,0.063
X,M,baneul,iso,a,eu,94,82,97,88,0.248,b,0.097
X,M,baneul,car,a,eu,96,101,94,105,0.147,b,0.096
X,F,pama,iso,a,a,261,176,255,180,0.414,p,0.069
X,F,pama,car,a,a,268,265,270,267,0.214,p,0.018
X,M,pama,iso,a,a,120,76,113,77,0.451,p,0.118
X,M,pama,car,a,a,129,120,127,121,0.263,p,0.096
X,F,paneul,iso,a,eu,257,199,249.1,210.3,0.374,p,0.071
X,F,paneul,car,a,eu,285,290,290.7,293.6,0.155,p,0.073
X,M,paneul,iso,a,eu,130,85,121.5,89.1,0.369,p,0.021
X,M,paneul,car,a,eu,118,125,118.6,125.5,0.13,p,0.025