group,sp_gender,ht,word,wpos,vtype,vpos,F0,F1,F2,F3
I,F,163,geonning,car,eo,1,225.5,599,1157,2892
I,F,163,geonning,car,i,2,264.6,390,2883,3119
I,F,163,geonning,iso,eo,1,211.3,574,1231,2899
I,F,163,geonning,iso,i,2,198.3,571,2811,3539
I,F,163,georae,car,eo,1,216.7,578,932,2968
I,F,163,georae,car,ae,2,236.6,527,1890,2894
I,F,163,georae,iso,eo,1,213.3,567,976,3078
I,F,163,georae,iso,ae,2,203.5,567,2155,2788
I,F,163,keonning,car,eo,1,326.6,739,1364,3275
I,F,163,keonning,car,i,2,352,500,2728,3233
I,F,163,keonning,iso,eo,1,346.8,759,1159,3175
I,F,163,keonning,iso,i,2,203.6,598,2779,3294
I,F,163,keorae,car,eo,1,322.2,771,1137,2968
I,F,163,keorae,car,ae,2,329.4,746,1896,3022
I,F,163,keorae,iso,eo,1,342.3,646,1015,3089
I,F,163,keorae,iso,ae,2,268.2,623,2054,2836
I,M,173,geonning,car,eo,1,107.8,506,1179,2725
I,M,173,geonning,car,i,2,121.5,315,2331,2932
I,M,173,geonning,iso,eo,1,107.5,551,1143,2678
I,M,173,geonning,iso,i,2,92.21,370,2240,3063
I,M,173,georae,car,eo,1,106,585,980,2756
I,M,173,georae,car,ae,2,111.6,517,1916,2585
I,M,173,georae,iso,eo,1,107.4,598,1017,2722
I,M,173,georae,iso,ae,2,93.25,486,2038,2711
I,M,173,keonning,car,eo,1,148.9,417,1225,2612
I,M,173,keonning,car,i,2,145.3,404,2174,2893
I,M,173,keonning,iso,eo,1,144.9,588,1244,2837
I,M,173,keonning,iso,i,2,102.4,422,2338,3079
I,M,173,keorae,car,eo,1,150.4,615,1160,2627
I,M,173,keorae,car,ae,2,145.7,526,1889,2576
I,M,173,keorae,iso,eo,1,134.5,612,1087,2668
I,M,173,keorae,iso,ae,2,97.07,527,1962,2610
E,F,158,bama,iso,a,1,184.42895,918.305247,1335.203637,3166.306874
E,F,158,bama,iso,a,2,158.922486,814.625805,1263.236959,1447.803298
E,F,158,bama,car,a,1,191.502488,930.625103,1367.364116,3175.414876
E,F,158,bama,car,a,2,182.482914,857.399973,1294.202769,3092.246787
E,M,170,bama,iso,a,1,101.956582,687.020712,1049.499901,2941.746191
E,M,170,bama,iso,a,2,89.092012,696.087266,1071.68989,3328.957047
E,M,170,bama,car,a,1,109.131924,745.039133,1081.392226,2134.625912
E,M,170,bama,car,a,2,114.622426,705.605659,1102.497643,2638.05695
E,F,158,pama,iso,a,1,251.1529,955.7174786,1518.828225,3199.069152
E,F,158,pama,iso,a,2,179.5684765,885.6965379,1497.044068,3462.15266
E,F,158,pama,car,a,1,282.8001461,822.9712442,1326.83392,3238.886596
E,F,158,pama,car,a,2,262.6874362,1010.340622,1503.497748,3221.152436
E,M,170,pama,iso,a,1,141.7731836,614.7617864,1066.786701,2716.480362
E,M,170,pama,iso,a,2,86.10393749,488.6355033,1061.819888,2970.061779
E,M,170,pama,car,a,1,160.2139902,605.8120904,1035.529712,2771.441099
E,M,170,pama,car,a,2,147.2956341,697.6321185,1123.569281,2752.615679
E,F,158,baneul,iso,a,1,186.2643345,952.4715098,1275.691377,2973.688669
E,F,158,baneul,iso,eu,2,161.6675149,611.204115,2361.252418,3094.45523
E,F,158,baneul,car,a,1,189.9638634,918.7036874,1532.704893,3157.895252
E,F,158,baneul,car,eu,2,204.3861948,587.2940292,2055.908146,3248.756203
E,M,170,baneul,iso,a,1,105.5747338,722.7033813,1224.348919,2793.692006
E,M,170,baneul,iso,eu,2,98.20349724,408.5473759,1756.117766,2681.319952
E,M,170,baneul,car,a,1,106.9305416,721.700068,1220.641891,2644.273957
E,M,170,baneul,car,eu,2,124.6510908,357.9192283,1595.992373,2392.889673
E,F,158,paneul,iso,a,1,243.7190094,978.5114209,1445.100028,3106.482597
E,F,158,paneul,iso,eu,2,166.801871,610.9282277,2158.099819,3173.777105
E,F,158,paneul,car,a,1,260.6303841,886.4413289,1550.747421,3351.258226
E,F,158,paneul,car,eu,2,266.7532766,608.2617013,2112.325502,3410.327938
E,M,170,paneul,iso,a,1,140.7708781,678.6922321,1209.155805,3318.267059
E,M,170,paneul,iso,eu,2,92.47514417,347.935223,1575.142018,2550.293488
E,M,170,paneul,car,a,1,173.6600708,632.1988952,1152.470354,2989.328762
E,M,170,paneul,car,eu,2,186.8938979,434.3526797,1623.952793,2118.53394
P,M,178,domang,car,o,1,89.40998921,354.886323,1065.424906,2277.701932
P,M,178,domang,car,a,2,92.76487918,760.8624737,1215.452284,2207.357285
P,F,163,domang,car,o,1,222.0288096,356.7082136,1110.692042,2538.59857
P,F,163,domang,car,a,2,225.4144596,730.4061327,1348.893578,2784.807843
P,M,178,domang,iso,o,1,90.04716465,421.5218251,675.4089042,2192.161165
P,M,178,domang,iso,a,2,79.81439013,912.5333107,1180.458673,2721.415782
P,F,163,domang,iso,o,1,220.5556093,362.3092351,875.8009468,2446.537867
P,F,163,domang,iso,a,2,185.010275,586.5320395,1194.318464,2315.50612
P,M,178,tomang,car,o,1,131.8745869,454.4559959,2278.963211,3488.092153
P,M,178,tomang,car,a,2,129.3520979,577.0110883,982.2250142,2050.367891
P,F,163,tomang,car,o,1,323.6265412,559.3955404,958.3806683,2563.329218
P,F,163,tomang,car,a,2,315.6800732,842.168823,1280.914127,1584.974712
P,M,178,tomang,iso,o,1,59.60668356,632.2951301,2075.833033,3218.049718
P,M,178,tomang,iso,a,2,79.20344684,677.5301389,1052.777076,2180.070303
P,F,163,tomang,iso,o,1,290.7168576,559.6924246,703.5847165,1704.743726
P,F,163,tomang,iso,a,2,212.3765042,755.6424589,1417.807872,2752.888829
P,M,178,dongmil,car,o,1,91.73204238,569.4836637,2170.907983,2484.920397
P,M,178,dongmil,car,i,2,91.21083827,261.3146312,2053.313194,2635.002763
P,F,163,dongmil,car,o,1,232.3645712,307.2645702,974.5753352,2604.043637
P,F,163,dongmil,car,i,2,258.3186972,462.6918579,2612.672925,3355.483277
P,M,178,dongmil,iso,o,1,83.64632271,500.3949634,2261.124739,2363.785426
P,M,178,dongmil,iso,i,2,90.48765756,289.7799245,1950.55828,2371.954652
P,F,163,dongmil,iso,o,1,221.1680995,362.9600797,993.0431161,2396.245977
P,F,163,dongmil,iso,i,2,199.7687671,474.7822138,2108.524602,3102.481477
P,M,178,tongmil,car,o,1,143.791242,662.5611026,2244.856324,2922.850957
P,M,178,tongmil,car,i,2,129.312693,269.4998617,2199.213926,2834.963378
P,F,163,tongmil,car,o,1,309.8860146,419.5476146,1042.454677,2430.381322
P,F,163,tongmil,car,i,2,311.4762416,513.6507701,2599.911828,3210.714055
P,M,178,tongmil,iso,o,1,120.1145232,362.8999533,2154.217897,2436.005757
P,M,178,tongmil,iso,i,2,80.14363563,303.9583972,2019.924096,2464.260818
P,F,163,tongmil,iso,o,1,308.7273134,437.239867,919.094,2223.638561
P,F,163,tongmil,iso,i,2,193.4877909,474.0100887,2436.967269,3186.404013
L,F,163,domang,iso,o,1,221.056487,366.3455983,762.3018378,2765.742915
L,F,163,domang,iso,a,2,201.1327743,790.4681492,1231.543357,2622.64239
L,F,163,domang,car,o,1,218.9423572,603.8625194,1250.815854,2220.948081
L,F,163,domang,car,a,2,227.8369328,885.2070071,1376.754638,3048.02156
L,F,163,tomang,iso,o,1,300.1920485,410.3862557,864.2939846,3374.57055
L,F,163,tomang,iso,a,2,203.116837,942.0113084,1418.026494,3383.891676
L,F,163,tomang,car,o,1,320.6734312,316.4241856,1077.251847,2374.077984
L,F,163,tomang,car,a,2,336.3292921,988.8730018,1608.095271,3342.67781
L,F,163,dongmil,iso,o,1,232.1300744,318.3110583,1211.18817,3010.241559
L,F,163,dongmil,iso,i,2,192.1482532,394.3041816,2637.116998,3433.187543
L,F,163,dongmil,car,o,1,229.2015963,375.8854106,1288.396933,3132.416681
L,F,163,dongmil,car,i,2,266.6684767,471.7669807,2721.546322,3319.44183
L,F,163,tongmil,iso,o,1,300.3033889,313.4644812,1164.126205,2392.776641
L,F,163,tongmil,iso,i,2,179.7535351,404.1740485,2552.820124,3365.615492
L,F,163,tongmil,car,o,1,338.6737903,469.9861774,1312.663778,3620.656384
L,F,163,tongmil,car,i,2,346.6380945,377.4600148,2703.242443,3500.470563
L,M,176,domang,iso,o,1,98.8555696,370.5214381,764.2889318,2953.149678
L,M,176,domang,iso,a,2,90.15986003,724.6421951,1115.800265,2201.492442
L,M,176,domang,car,o,1,94.35425626,717.3280326,2526.123873,3504.604277
L,M,176,domang,car,a,2,107.9711297,746.9600583,1189.406154,2616.27034
L,M,176,tomang,iso,o,1,136.9151382,660.046802,2578.741061,3934.547675
L,M,176,tomang,iso,a,2,83.62611401,805.5976142,1164.051819,2497.109135
L,M,176,tomang,car,o,1,138.3488572,674.5194812,1883.820415,3260.990962
L,M,176,tomang,car,a,2,140.8459119,760.6324488,1237.699595,2388.066855
L,M,176,dongmil,iso,o,1,102.4062327,234.8954933,1214.187477,2551.281188
L,M,176,dongmil,iso,i,2,92.59681104,412.8519754,2040.247261,3104.416508
L,M,176,dongmil,car,o,1,96.40425898,524.7155055,725.4088413,2499.494751
L,M,176,dongmil,car,i,2,117.2082869,324.9855917,2271.554168,2784.450491
L,M,176,tongmil,iso,o,1,136.5042426,507.9320061,2529.054205,2842.190011
L,M,176,tongmil,iso,i,2,97.56365019,387.6655833,2258.49764,2668.10819
L,M,176,tongmil,car,o,1,144.5438724,407.8805038,1368.576222,2776.45374
L,M,176,tongmil,car,i,2,143.218335,378.9036658,2315.093859,2681.738117
X,F,170,bama,car,a,1,214,933,1262,2585
X,F,170,bama,iso,a,1,204,963,1384,2652
X,F,170,bama,car,a,2,224,827,1415,2910
X,F,170,bama,iso,a,2,191,1481,2516,3573
X,F,170,baneul,iso,a,1,200,1005,1464,2723
X,F,170,baneul,car,a,1,217,823,1495,2852
X,F,170,baneul,car,eu,2,232,555,1908,2999
X,F,170,baneul,iso,eu,2,189,598,2041,3216
X,F,170,pama,car,a,2,267,844,1460,2375
X,F,170,pama,car,a,1,270,923,1478,2600
X,F,170,pama,iso,a,2,180,856,1453,2830
X,F,170,pama,iso,a,1,255,919,1430,2844
X,F,170,paneul,iso,a,1,249.1,947,1585,2856
X,F,170,paneul,car,a,1,290.7,1036,1649,3136
X,F,170,paneul,iso,eu,2,210.3,613,1934,2987
X,F,170,paneul,car,eu,2,293.6,596,1758,3040
X,M,174,bama,car,a,1,91,613,1154,2343
X,M,174,bama,car,a,2,100,649,1316,2440
X,M,174,bama,iso,a,1,91,679,1242,2446
X,M,174,bama,iso,a,2,74,1129,1937,3661
X,M,174,baneul,iso,a,1,97,748,1687,2710
X,M,174,baneul,car,a,1,94,500,1565,2795
X,M,174,baneul,iso,eu,2,88,361,1891,2333
X,M,174,baneul,car,eu,2,105,362,1785,2465
X,M,174,pama,car,a,1,127,635,1250,2300
X,M,174,pama,car,a,2,121,606,1319,2399
X,M,174,pama,iso,a,1,113,630,1222,2488
X,M,174,pama,iso,a,2,77,770,1655,3057
X,M,174,paneul,car,a,1,118.6,616,1409,2236
X,M,174,paneul,iso,a,1,121.5,548,1591,2414
X,M,174,paneul,iso,eu,2,89.1,356,1698,2468
X,M,174,paneul,car,eu,2,125.5,428,1675,2609